항목 / 시점,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512
마늘_생산자물가지수(품목별),128.27,127.77,129.03,128.7,127.27,113.81,96.74,91.68,90.96,90.79,92.23,91.89,89.34,85.67,84.76,84.96,88.45,87.0,101.07,115.65,115.8,115.77,115.77,115.77,138.29,142.58,144.76,147.71,147.44,144.3,163.23,168.12,167.04,166.86,171.19,172.38,172.38,166.9,168.61,173.92,173.98,174.61,177.6,179.71,172.92,169.16,168.87,168.66,168.29,169.12,169.37,164.87,128.6,118.05,124.83,124.05,126.36,130.15,130.81,131.59,129.16,128.46,128.19,128.3,128.56,129.09,131.04,133.7,134.5,134.75,134.68,134.85,136.81,140.93,145.83,149.48,159.84,159.19,154.71,139.75,140.61,141.01,143.59,144.56
파_생산자물가지수(품목별),72.03,68.96,52.83,48.07,65.68,69.45,76.04,84.51,87.07,85.81,81.15,76.93,68.86,55.7,44.74,59.2,79.55,89.53,99.2,151.43,148.83,143.87,146.11,112.98,172.81,246.09,242.12,202.44,137.15,54.2,55.26,73.29,85.15,80.88,89.99,76.12,74.54,73.34,84.55,65.85,78.66,87.37,106.64,118.3,110.63,107.54,107.59,102.29,99.62,110.43,116.12,82.66,105.37,103.04,124.64,123.86,116.4,149.94,189.24,196.54,192.71,178.46,153.05,119.4,106.62,95.7,98.17,105.5,118.75,111.03,126.1,131.37,120.69,126.19,120.44,75.22,67.14,74.17,87.76,97.95,92.71,102.38,106.63,110.19
양파_생산자물가지수(품목별),45.25,45.62,52.84,72.84,51.65,37.58,32.63,41.71,44.03,41.14,49.86,64.91,83.75,99.5,104.25,103.11,89.99,67.3,75.42,97.32,111.32,114.73,123.29,130.03,168.34,188.0,181.94,98.21,58.63,62.69,69.5,85.66,89.45,84.63,90.92,82.89,66.97,55.2,52.09,56.01,69.92,128.66,136.41,140.27,138.39,141.33,141.09,140.1,138.85,143.55,161.2,118.61,112.82,113.92,122.55,128.96,123.04,120.65,117.45,118.9,125.24,123.66,147.08,153.58,123.03,99.59,102.24,108.96,112.6,112.49,116.27,119.15,135.31,143.83,163.38,137.58,78.84,67.36,87.25,103.68,106.77,105.59,103.62,102.37
생강_생산자물가지수(품목별),134.43,140.83,146.19,146.38,151.52,194.43,206.41,207.97,146.99,68.39,81.86,82.35,84.73,85.74,111.77,111.37,117.22,133.53,136.61,131.95,89.5,59.01,66.7,71.87,71.66,72.48,69.61,68.29,67.84,67.29,67.41,66.85,60.95,49.98,42.88,40.56,40.31,40.52,41.61,40.18,39.95,40.01,40.1,41.77,58.04,77.76,101.61,118.6,118.52,118.94,126.18,131.05,148.38,151.9,147.53,152.34,146.46,91.29,98.45,98.25,99.43,107.72,107.66,105.93,100.82,98.52,95.78,94.69,97.1,74.66,67.57,72.97,74.03,75.84,77.57,77.87,77.69,78.17,80.73,84.38,96.6,80.54,67.09,73.45
버섯_생산자물가지수(품목별),122.68,109.01,98.45,100.46,98.83,98.15,95.36,111.52,122.92,113.43,118.5,117.74,133.68,98.03,100.17,104.78,115.62,108.18,94.17,83.2,100.91,92.67,84.84,83.74,94.68,99.68,90.31,90.38,93.6,96.33,82.15,95.07,121.68,112.62,110.63,119.14,138.35,107.01,105.75,119.49,135.68,130.04,126.28,133.86,132.22,122.43,118.97,132.01,151.53,125.58,130.49,118.07,119.9,113.17,111.6,125.4,138.8,124.12,122.2,123.69,134.57,139.97,132.56,120.73,116.74,111.75,112.68,118.35,141.6,120.07,133.66,136.28,156.04,134.19,135.05,128.38,126.59,124.33,116.97,129.71,135.69,132.26,117.56,136.92
피망_생산자물가지수(품목별),163.56,125.06,108.7,63.66,79.9,81.78,44.06,107.56,157.39,73.22,65.5,64.93,139.25,186.23,88.44,45.73,49.99,77.31,56.66,88.49,220.7,116.97,62.51,67.73,135.65,215.67,158.22,83.18,60.68,100.1,45.63,39.79,93.97,61.95,115.57,115.33,221.61,151.1,115.56,121.54,99.85,80.15,85.33,91.26,154.75,63.72,70.46,106.35,213.85,205.2,127.41,101.4,109.96,109.38,50.74,93.44,118.07,110.41,93.81,126.24,259.92,269.61,192.59,112.15,57.19,66.84,48.89,66.44,103.04,147.86,120.5,89.23,133.02,179.11,166.55,106.5,95.42,108.46,59.62,53.14,85.95,87.94,93.06,65.04
양배추_생산자물가지수(품목별),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.94,110.92,110.61,122.45,164.07,148.1,112.07,190.68,196.58,193.45,119.46,110.27,99.23,112.19,167.67,279.7,277.75,127.25,95.14,148.4,142.26,194.19,208.61,181.99,244.1,294.81,259.66,203.21,154.91,92.41,121.01,128.98,135.4,109.25,124.39,137.73
사과_생산자물가지수(품목별),84.33,70.59,73.67,72.64,73.32,77.51,72.76,59.67,61.42,58.47,59.27,65.58,65.74,65.1,66.77,70.02,100.02,109.54,121.56,148.98,148.98,97.43,93.02,112.84,116.04,124.56,120.38,124.9,127.08,125.39,113.1,86.22,86.22,75.72,66.44,83.95,105.16,88.15,71.89,79.0,72.89,92.39,106.36,106.9,106.9,75.32,69.67,72.01,79.84,77.36,74.85,82.29,94.27,115.19,139.02,150.72,140.2,135.21,136.31,160.06,172.02,171.7,176.48,194.49,199.55,196.95,176.59,176.59,134.87,122.29,119.8,129.54,139.49,167.95,163.97,168.44,146.9,160.33,165.67,162.9,127.73,164.76,144.2,172.68
배_생산자물가지수(품목별),95.99,92.23,95.21,94.37,97.21,107.79,124.47,139.9,70.73,63.25,71.91,76.94,75.44,77.68,82.32,85.05,97.31,99.61,98.82,97.9,120.4,113.04,120.09,132.34,138.79,142.74,145.68,148.76,158.69,164.97,185.59,190.22,85.46,73.94,81.53,92.13,102.49,94.81,93.41,98.8,106.22,126.42,135.72,125.92,81.89,67.71,69.92,70.95,79.41,80.05,75.89,72.4,79.77,93.17,103.92,105.03,114.3,104.15,116.44,126.3,138.49,153.71,183.7,231.09,256.36,279.26,295.21,98.48,106.42,100.24,139.89,168.8,187.72,177.12,169.85,171.2,148.51,142.06,131.82,115.41,103.05,99.14,104.91,108.61
복숭아_생산자물가지수(품목별),131.19,131.19,131.19,131.19,131.19,131.19,113.74,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,120.93,93.13,93.13,93.13,93.13,93.13,93.13,93.13,93.13,93.13,93.13,93.13,118.05,110.36,110.36,110.36,110.36,110.36,110.36,110.36,110.36,110.36,110.36,110.36,130.6,108.84,108.84,108.84,108.84,108.84,108.84,108.84,108.84,108.84,108.84,108.84,120.5,171.26,171.26,171.26,171.26,171.26,171.26,171.26,171.26,171.26,171.26,171.26,98.53,108.85,135.76,135.76,135.76,135.76,135.76,135.76,135.76,135.76,135.76,135.76,125.71,104.54,91.08,91.08,91.08,91.08
